Year,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Date,Ozone
1955,2.63,1.94,3.38,4.92,6.29,5.58,5.5,4.71,6.04,7.13,7.79,3.83,1/1/1955,2.63
1956,3.83,4.25,5.29,3.75,4.67,5.42,6.04,5.71,8.13,4.88,5.42,5.5,2/1/1955,1.94
1957,3,3.42,4.5,4.25,4,5.33,5.79,6.58,7.29,5.04,5.04,4.48,3/1/1955,3.38
1958,3.33,2.88,2.5,3.83,4.17,4.42,4.25,4.08,4.88,4.54,4.25,4.21,4/1/1955,4.92
1959,2.75,2.42,4.5,5.21,4,7.54,7.38,5.96,5.08,5.46,4.79,2.67,5/1/1955,6.29
1960,1.71,1.92,3.38,3.98,4.63,4.88,5.17,4.83,5.29,3.71,2.46,2.17,6/1/1955,5.58
1961,2.15,2.44,2.54,3.25,2.81,4.21,4.13,4.17,3.75,3.83,2.42,2.17,7/1/1955,5.5
1962,2.33,2,2.13,4.46,3.17,3.25,4.08,5.42,4.5,4.88,2.83,2.75,8/1/1955,4.71
1963,1.63,3.04,2.58,2.92,3.29,3.71,4.88,4.63,4.83,3.42,2.38,2.33,9/1/1955,6.04
1964,1.5,2.25,2.63,2.96,3.46,4.33,5.42,4.79,4.38,4.54,2.04,1.33,10/1/1955,7.13
1965,2.04,2.81,2.67,4.08,3.9,3.96,4.5,5.58,4.52,5.88,3.67,1.79,11/1/1955,7.79
1966,1.71,1.92,3.58,4.4,3.79,5.52,5.5,5,5.48,4.81,2.42,1.46,12/1/1955,3.83
1967,1.71,2.46,2.42,1.79,3.63,3.54,4.88,4.96,3.63,5.46,3.08,1.75,1/1/1956,3.83
1968,2.13,2.58,2.75,3.15,3.46,3.33,4.67,4.13,4.73,3.42,3.08,1.79,2/1/1956,4.25
1969,1.96,1.63,2.75,3.06,4.31,3.31,3.71,5.25,3.67,3.1,2.25,2.29,3/1/1956,5.29
1970,1.25,2.25,2.67,3.23,3.58,3.04,3.75,4.54,4.46,2.83,1.63,1.17,4/1/1956,3.75
1971,1.79,1.92,2.25,2.96,2.38,3.38,3.38,3.21,2.58,2.42,1.58,1.21,5/1/1956,4.67
1972,1.42,1.96,3.04,2.92,3.58,3.33,4.04,3.92,3.08,2,1.58,1.21,6/1/1956,5.42
,,,,,,,,,,,,,7/1/1956,6.04
,,,,,,,,,,,,,8/1/1956,5.71
,,,,,,,,,,,,,9/1/1956,8.13
,,,,,,,,,,,,,10/1/1956,4.88
,,,,,,,,,,,,,11/1/1956,5.42
,,,,,,,,,,,,,12/1/1956,5.5
,,,,,,,,,,,,,1/1/1957,3
,,,,,,,,,,,,,2/1/1957,3.42
,,,,,,,,,,,,,3/1/1957,4.5
,,,,,,,,,,,,,4/1/1957,4.25
,,,,,,,,,,,,,5/1/1957,4
,,,,,,,,,,,,,6/1/1957,5.33
,,,,,,,,,,,,,7/1/1957,5.79
,,,,,,,,,,,,,8/1/1957,6.58
,,,,,,,,,,,,,9/1/1957,7.29
,,,,,,,,,,,,,10/1/1957,5.04
,,,,,,,,,,,,,11/1/1957,5.04
,,,,,,,,,,,,,12/1/1957,4.48
,,,,,,,,,,,,,1/1/1958,3.33
,,,,,,,,,,,,,2/1/1958,2.88
,,,,,,,,,,,,,3/1/1958,2.5
,,,,,,,,,,,,,4/1/1958,3.83
,,,,,,,,,,,,,5/1/1958,4.17
,,,,,,,,,,,,,6/1/1958,4.42
,,,,,,,,,,,,,7/1/1958,4.25
,,,,,,,,,,,,,8/1/1958,4.08
,,,,,,,,,,,,,9/1/1958,4.88
,,,,,,,,,,,,,10/1/1958,4.54
,,,,,,,,,,,,,11/1/1958,4.25
,,,,,,,,,,,,,12/1/1958,4.21
,,,,,,,,,,,,,1/1/1959,2.75
,,,,,,,,,,,,,2/1/1959,2.42
,,,,,,,,,,,,,3/1/1959,4.5
,,,,,,,,,,,,,4/1/1959,5.21
,,,,,,,,,,,,,5/1/1959,4
,,,,,,,,,,,,,6/1/1959,7.54
,,,,,,,,,,,,,7/1/1959,7.38
,,,,,,,,,,,,,8/1/1959,5.96
,,,,,,,,,,,,,9/1/1959,5.08
,,,,,,,,,,,,,10/1/1959,5.46
,,,,,,,,,,,,,11/1/1959,4.79
,,,,,,,,,,,,,12/1/1959,2.67
,,,,,,,,,,,,,1/1/1960,1.71
,,,,,,,,,,,,,2/1/1960,1.92
,,,,,,,,,,,,,3/1/1960,3.38
,,,,,,,,,,,,,4/1/1960,3.98
,,,,,,,,,,,,,5/1/1960,4.63
,,,,,,,,,,,,,6/1/1960,4.88
,,,,,,,,,,,,,7/1/1960,5.17
,,,,,,,,,,,,,8/1/1960,4.83
,,,,,,,,,,,,,9/1/1960,5.29
,,,,,,,,,,,,,10/1/1960,3.71
,,,,,,,,,,,,,11/1/1960,2.46
,,,,,,,,,,,,,12/1/1960,2.17
,,,,,,,,,,,,,1/1/1961,2.15
,,,,,,,,,,,,,2/1/1961,2.44
,,,,,,,,,,,,,3/1/1961,2.54
,,,,,,,,,,,,,4/1/1961,3.25
,,,,,,,,,,,,,5/1/1961,2.81
,,,,,,,,,,,,,6/1/1961,4.21
,,,,,,,,,,,,,7/1/1961,4.13
,,,,,,,,,,,,,8/1/1961,4.17
,,,,,,,,,,,,,9/1/1961,3.75
,,,,,,,,,,,,,10/1/1961,3.83
,,,,,,,,,,,,,11/1/1961,2.42
,,,,,,,,,,,,,12/1/1961,2.17
,,,,,,,,,,,,,1/1/1962,2.33
,,,,,,,,,,,,,2/1/1962,2
,,,,,,,,,,,,,3/1/1962,2.13
,,,,,,,,,,,,,4/1/1962,4.46
,,,,,,,,,,,,,5/1/1962,3.17
,,,,,,,,,,,,,6/1/1962,3.25
,,,,,,,,,,,,,7/1/1962,4.08
,,,,,,,,,,,,,8/1/1962,5.42
,,,,,,,,,,,,,9/1/1962,4.5
,,,,,,,,,,,,,10/1/1962,4.88
,,,,,,,,,,,,,11/1/1962,2.83
,,,,,,,,,,,,,12/1/1962,2.75
,,,,,,,,,,,,,1/1/1963,1.63
